config-name,ah,aw,ifs,fs,ofs,dfw,total_cycles,avg_map_eff
system_a695d838-6562-46f8-81a7-4cb3d41204c8,10,5,5,5,5,os,31594,37.64288401253914
system_c625b049-75f8-466d-8ec7-dd816a3a366e,4,8,5,5,5,is,68725,46.48853639286195
system_4da8662d-bdcd-4f48-bf56-72e6b1180039,5,4,5,5,5,is,101511,52.43349753694592
system_3fb70663-480f-4a06-baf7-528368434fac,6,9,5,5,5,is,51162,44.25182117935741
system_2f592e26-8210-4934-a446-89bc70afca79,9,7,5,5,5,os,28634,32.43419106773139
system_e28cf1d8-f1ce-4570-af1b-e342524d826b,4,4,5,5,5,is,110441,54.28571428571429
system_5569df1c-d8c7-43bc-bd7e-9ca7460abcdb,5,4,5,5,5,ws,53679,92.8144499178982
system_8e56510d-cee1-42ca-abb6-34d09502e972,7,8,5,5,5,os,26045,37.27901120361805
system_e2cae2d3-3954-4590-bd7c-a65ef9ce3199,3,6,5,5,5,is,97977,49.83017511832632
system_0ddf0303-0d56-4d21-a3b2-7f0d0e0e3d2e,5,3,5,5,5,ws,82905,83.96801070364288
system_70c27b79-8b3d-4dae-ae00-dd96321d8e70,4,5,5,5,5,os,64288,47.000000000000206
system_1b84cc80-4165-431b-a34f-3c84d0a542ca,10,3,5,5,5,is,95901,55.84177040110668
system_0d5f5783-ee1a-46ca-95a4-73e21a415fa1,6,7,5,5,5,is,61325,45.75185066317613
system_b7a21cd6-0390-43ee-95a2-089b1b0628f8,7,5,5,5,5,is,69618,50.080112406953795
system_332004f8-c2c6-42f0-b5ae-db9ac0dea223,5,10,5,5,5,is,54195,43.255029108822136
system_99bf50ad-9828-4f29-8974-e1807418a1c6,7,10,5,5,5,is,42843,44.07962808948025
system_da2283f3-7470-4c21-821a-f850f5ed8533,10,8,5,5,5,os,19937,34.98542319749216
system_e4361ba2-8e6d-4b23-90e0-1cf73fb4f815,5,9,5,5,5,os,34625,36.60937659461297
system_11465164-73ee-41b3-9a31-7ad1dec673d6,9,5,5,5,5,is,60540,51.24031735704168
system_99c596b4-c038-4a0f-b4b7-52867e72d4ab,4,3,5,5,5,ws,96357,86.89594356261023
system_996c885f-c128-4bd0-bed9-eb58ce357332,10,5,5,5,5,ws,29524,85.76
system_636cdd18-f7cc-4c1a-8410-d32fb58cd78d,3,8,5,5,5,os,53226,47.47233748271093
system_947f7374-46bb-449e-961b-150dc87c7767,5,10,5,5,5,os,34929,35.964311951024975
system_40d9550a-2b23-454a-b01e-287974b6c85b,8,4,5,5,5,is,83359,51.875
system_5b099d54-ad4c-46dc-b43a-4b9d64718e91,8,4,5,5,5,os,38237,46.784182275524415
system_5c27e550-5661-4fec-9bb8-544a8ef12d98,3,3,5,5,5,ws,122421,86.68537224092783
system_e3d26fc2-3ecd-4e9e-8e49-9310077da96d,7,3,5,5,5,os,62865,38.90709660367362
system_04e97c97-8a17-4a91-a7d7-6727a283f50c,5,10,5,5,5,ws,32625,80.63054187192118
system_1e8c9553-f0be-4212-b4a5-58508e92e3a1,4,8,5,5,5,os,41213,43.125
system_84c6cac5-c2cc-4731-930d-291db3ca24fd,5,5,5,5,5,os,53343,43.93969656640958
system_6c6875bc-ea25-443e-a590-cd0933aebbde,9,7,5,5,5,is,48296,47.70967598332034
system_7a3fd0ec-e3f6-44a3-9e3c-72e0d952365e,7,5,5,5,5,ws,37804,87.4829931972789
system_85eadd87-ae4a-4278-bf9c-36a5115dbfbd,7,5,5,5,5,os,40961,40.27305698721078
system_b1a42a3a-bd21-4f0e-8ef7-0b8357f7971d,9,6,5,5,5,ws,24797,83.668430335097
system_dbe64da4-9e43-44f4-b2e8-f9867e1e7d24,7,3,5,5,5,is,105400,57.64452724381605
system_9a2fc91b-9570-4412-8037-2c5c853ec140,3,5,5,5,5,os,82743,51.97786998616893
system_25840666-cf23-4332-8121-96578d68ff5e,4,6,5,5,5,os,52788,45.039682539682275
system_4c76f964-426c-43c9-b1de-9ed5d3762424,10,6,5,5,5,os,25836,36.36655222172475
system_a8ebf3bf-dfc2-46b4-9e2b-7784af94a4d3,3,10,5,5,5,ws,49243,83.14702581369247
