ah,aw,ifs,fs,ofs,dfw,total_cycles,avg_mapping_eff
9,6,4,2,1,ws,24797,83.668430335097
7,4,3,3,1,ws,39233,92.08390022675738
9,9,4,4,3,os,22294,32.151079075394634
8,4,2,4,4,ws,37618,93.54166666666667
3,5,2,3,4,ws,77327,91.14702581369247
4,4,4,4,3,ws,62081,95.95238095238096
4,5,4,3,4,ws,60811,91.42857142857143
10,9,3,3,1,is,42291,43.36011042097992
4,8,4,3,4,ws,39175,81.78571428571429
7,8,3,4,4,ws,24517,78.31972789115646
3,10,2,1,4,ws,54013,83.14702581369247
5,4,4,3,1,is,101511,52.43349753694592
4,3,4,2,3,os,98574,45.21604938271575
3,4,4,1,4,is,129771,54.786756453423116
5,5,4,4,1,ws,52352,88.57536945812808
3,5,2,3,1,is,117646,51.754025870750276
3,8,4,1,4,is,82551,47.094227168902634
6,10,4,2,3,ws,27847,79.22539682539683
4,10,4,3,3,ws,38353,83.42857142857142
3,6,1,4,4,os,68007,49.65795077828307
9,3,3,2,1,os,55059,37.31862757627668
8,4,3,1,1,is,85100,51.875
6,5,1,1,2,os,152270,41.977869986168955
8,9,3,1,4,os,32013,32.748132771602144
7,4,1,4,3,is,222228,52.97278911564638
5,9,4,3,2,os,34625,36.60937659461297
4,6,4,3,2,ws,50103,86.19047619047618
6,5,4,2,3,is,77390,49.291084156136044
7,10,4,2,3,ws,23635,79.64625850340137
9,6,2,4,4,os,46161,37.24024231270621
4,8,1,1,4,ws,44288,81.78571428571429
9,8,2,1,1,is,93190,46.77315934783481
4,5,4,1,2,os,64480,47.000000000000206
3,7,4,4,3,is,89514,48.07661063596921
9,5,3,2,2,is,62534,51.24031735704168
6,7,4,2,3,os,38255,35.375749193176745
3,5,4,4,4,ws,77327,91.14702581369247
10,8,4,3,2,is,43275,43.91612990163044
9,4,3,4,3,os,36129,46.22728318380493
8,7,1,3,3,os,66426,33.03281870624542
4,3,3,1,3,is,138751,59.259039715471246
9,3,3,1,4,ws,55893,84.29551244366061
6,9,2,3,2,ws,28657,71.69888860894153
9,8,1,3,1,ws,19446,79.43562610229276
3,8,1,3,2,ws,50066,81.6470258136925
5,3,3,2,2,ws,82905,83.96801070364288
10,6,3,2,1,ws,24427,80.70476190476191
5,10,1,4,1,ws,32625,80.63054187192118
5,10,2,2,2,ws,32625,80.63054187192118
3,10,2,4,1,ws,49243,83.14702581369247
8,9,4,3,3,os,23823,32.748132771602144
5,10,1,1,2,ws,38600,80.63054187192118
6,10,2,3,1,ws,27847,79.22539682539683
4,7,1,3,1,ws,49948,78.50340136054427
10,8,3,1,4,os,21996,34.98542319749216
6,5,4,1,2,is,77390,49.291084156136044
5,3,1,2,4,ws,82905,83.96801070364288
5,6,4,2,3,ws,43031,83.32301196340605
4,3,1,2,4,ws,96357,86.89594356261023
10,4,3,4,3,ws,30965,89.86666666666667
7,8,3,2,3,os,36945,37.27901120361805
10,10,1,1,3,os,92006,29.788338557993676
10,4,4,1,1,os,36450,45.22027168234065
10,6,2,1,4,os,50999,36.36655222172475
9,7,4,4,1,is,48230,47.70967598332034
5,5,1,3,2,ws,52352,88.57536945812808
